symbol,timestamp,open,high,low,close,volume,trade_count,vwap,20_day_ma
ETH/USD,2024-07-04 05:00:00+00:00,3234.294,3234.294,2814.7325,2863.8865,63.553108703,115.0,3061.955951029,645.503588915
ETH/USD,2024-07-05 05:00:00+00:00,2866.965,3025.0705,2823.885,2964.945,24.883519653,133.0,2904.2520929382,793.7454665150001
ETH/USD,2024-07-06 05:00:00+00:00,2964.5615,3081.1955,2962.8,3031.0375,20.378930595,44.0,3012.3122853729,945.2927370150001
ETH/USD,2024-07-07 05:00:00+00:00,3031.6,3039.4765,2824.54,2915.0,35.963762338,50.0,2944.0626950659,1091.0378104075
ETH/USD,2024-07-08 05:00:00+00:00,2914.5515,3092.515,2892.8,3073.511,32.976351036,96.0,3028.5356525475,1244.7083991075
ETH/USD,2024-07-09 05:00:00+00:00,3069.5985,3129.5235,3025.75,3117.5955,55.140816912,59.0,3089.4071402105,1400.583226775
ETH/USD,2024-07-10 05:00:00+00:00,3118.125,3148.9935,3056.635,3083.95,40.112878642,60.0,3098.0621043588,1554.775514275
ETH/USD,2024-07-11 05:00:00+00:00,3082.884,3215.3285,3056.877,3085.4595,23.527653411,71.0,3115.184380138,1709.0433173000001
ETH/USD,2024-07-12 05:00:00+00:00,3085.6665,3158.25,3047.015,3117.305,14.252277264,45.0,3089.5714017352,1864.9031444500001
ETH/USD,2024-07-13 05:00:00+00:00,3115.605,3201.6995,3115.605,3193.16,8.772512643,20.0,3158.0450059822,2024.5560566
ETH/USD,2024-07-14 05:00:00+00:00,3195.65,3342.5135,3176.193,3336.63,20.569607361,27.0,3224.5401553112,2191.3823249250004
ETH/USD,2024-07-15 05:00:00+00:00,3340.05,3499.841,3330.229,3462.47,23.241828813,74.0,3383.7017349961,2364.500533175
ETH/USD,2024-07-16 05:00:00+00:00,3462.255,3518.104,3350.0755,3494.7205,42.65092432,83.0,3417.6243270494,2539.231419175
ETH/USD,2024-07-17 05:00:00+00:00,3497.9215,3516.13,3378.3945,3418.0515,41.232371903,58.0,3438.5988225643,2710.12892325
ETH/USD,2024-07-18 05:00:00+00:00,3416.7,3488.9785,3370.137,3424.325,32.817471366,53.0,3424.7624604663,2881.3401277499997
ETH/USD,2024-07-19 05:00:00+00:00,3419.6335,3541.6565,3377.585,3509.4515,16.425836497,51.0,3478.3731112823,3056.8075949999998
ETH/USD,2024-07-20 05:00:00+00:00,3507.599,3540.494,3483.035,3506.8315,4.256965772,25.0,3506.5829602845,3232.14415
ETH/USD,2024-07-21 05:00:00+00:00,3505.34,3562.811,3414.165,3516.6,22.207753651,47.0,3505.1280074246,3235.39165
ETH/USD,2024-07-22 05:00:00+00:00,3517.1,3517.1,3426.2515,3458.55,11.024795633,49.0,3479.5679881973,3240.46675
ETH/USD,2024-07-23 05:00:00+00:00,3458.244,3540.8455,3393.4865,3442.27,12.000197633,68.0,3474.1778971471,3250.7875
ETH/USD,2024-07-24 05:00:00+00:00,3442.43,3472.74,3134.75,3183.963,38.635577818,75.0,3275.3226941666,3266.791325
ETH/USD,2024-07-29 05:00:00+00:00,3343.233,3395.48,3257.405,3315.025,39.023069981,70.0,3356.5707204761,3331.0066500000003
AAVE/USD,2024-07-20 05:00:00+00:00,100.3915,100.63,98.55,98.798,2.302021206,1.0,100.6,92.3111325
AAVE/USD,2024-07-21 05:00:00+00:00,98.775,100.1745,94.40915,96.5903,3.256821354,12.0,96.4957800814,92.2563475
AAVE/USD,2024-07-22 05:00:00+00:00,96.5885,96.65,93.37305,93.7425,1.04,2.0,95.0483269231,92.4930425
AAVE/USD,2024-07-23 05:00:00+00:00,93.713,96.3265,91.6566,93.247,8.600378481,22.0,94.1012228892,92.87419249999999
AAVE/USD,2024-07-26 05:00:00+00:00,102.507,103.165,96.9321,98.6005,3.507179336,18.0,99.0087851851,95.51419250000001
AAVE/USD,2024-07-27 05:00:00+00:00,98.5216,102.968,98.33365,100.195,3.355392867,12.0,100.9975773474,96.5431925
AAVE/USD,2024-07-28 05:00:00+00:00,100.16,103.385,97.9615,101.036,0.553693632,7.0,98.278050175,97.4617925
AAVE/USD,2024-07-29 05:00:00+00:00,101.053,106.4055,100.32,104.145,2.171685331,15.0,105.0773894551,98.30566999999999
AAVE/USD,2024-07-30 05:00:00+00:00,104.1655,107.6542821155,102.575,105.04,5.0,1.0,105.36,99.11456000000001
AAVE/USD,2024-07-31 05:00:00+00:00,105.053,112.32,103.695,103.846,2.979934937,17.0,108.7534583246,99.6137925
AAVE/USD,2024-08-01 05:00:00+00:00,103.842,117.4095,103.6275,116.3435,21.68765291,6.0,106.0579594192,100.5820575
AAVE/USD,2024-08-02 05:00:00+00:00,116.32,117.858,105.852,109.262,3.432908386,13.0,114.7303623081,100.9449075
AAVE/USD,2024-08-03 05:00:00+00:00,109.365,116.8,102.554,105.85,21.410047192,26.0,106.0779176682,101.0436575
AAVE/USD,2024-08-04 05:00:00+00:00,105.945,111.9295,83.3041,84.738,127.905860045,8.0,97.7478035065,100.0877825
AAVE/USD,2024-08-06 05:00:00+00:00,102.731,107.987,97.36225,105.324,111.679857837,9.0,104.8830430984,100.467165
AAVE/USD,2024-08-07 05:00:00+00:00,105.22,105.35,96.68535,101.266,49.0,2.0,101.1605499388,100.590715
AAVE/USD,2024-08-08 05:00:00+00:00,101.3,102.55,95.27,97.41875,153.814994817,16.0,97.8789697103,100.4401025
AAVE/USD,2024-08-15 05:00:00+00:00,106.6535,111.93,104.1835,110.56,3.788538504,17.0,107.4033376373,101.5691175
AAVE/USD,2024-08-16 05:00:00+00:00,110.4925,114.7725,105.7435,113.316,7.985595246,30.0,111.2766425113,102.2251675
AAVE/USD,2024-08-17 05:00:00+00:00,113.3,116.51,109.5515,111.339,2.690084761,14.0,111.3894511492,102.74031749999999
AAVE/USD,2024-08-18 05:00:00+00:00,111.3155,113.325,109.3675,113.085,0.039399783,5.0,110.9611877397,103.18731749999999
BTC/USD,2024-07-01 05:00:00+00:00,63239.2165,63800.91,62465.75,63008.003,2.412273334,107.0,63093.6789969285,3248.3354675
BTC/USD,2024-07-02 05:00:00+00:00,62970.1,63055.1,60587.945,60784.5915,1.287656865,98.0,61708.5769249073,6282.372742500001
BTC/USD,2024-07-03 05:00:00+00:00,60780.62,61091.3,57881.449,58946.854,2.693326148,233.0,59627.6716306242,9223.8982675
BTC/USD,2024-07-04 05:00:00+00:00,58950.878,59035.45,53533.05,53899.8305,4.698869739,272.0,56806.8153858409,11913.426692500001
BTC/USD,2024-07-05 05:00:00+00:00,53875.3225,57031.4135,53809.37,56106.38,22.647476205,267.0,54093.4433016979,14713.4531925
BTC/USD,2024-07-06 05:00:00+00:00,56056.7705,58470.9255,56056.7705,57644.79,1.457207672,104.0,57072.4874686971,17591.4557925
BTC/USD,2024-07-07 05:00:00+00:00,57641.6625,57916.2445,54299.967,55505.8285,2.295876911,90.0,56020.1933365752,20361.6039675
BTC/USD,2024-07-08 05:00:00+00:00,55454.2,58178.91,54944.1635,57332.46,2.323120024,186.0,56522.8609039331,23222.960767499997
BTC/USD,2024-07-09 05:00:00+00:00,57272.65,59410.0,56947.909,59325.735,19.601861578,230.0,59103.9590192637,26184.1842175
BTC/USD,2024-07-10 05:00:00+00:00,59324.72,59428.7354143575,57104.962,57751.5,5.625180124,213.0,57805.8490865526,29066.888280000003
BTC/USD,2024-07-11 05:00:00+00:00,57785.078,59494.845,56584.3911910665,57043.675,1.219177194,106.0,57897.371610419,31914.308674999997
BTC/USD,2024-07-12 05:00:00+00:00,57062.545,58535.406,56799.822,57806.581,0.546373506,82.0,57586.4358372359,34799.8895075
BTC/USD,2024-07-13 05:00:00+00:00,57846.95,60086.5515,57833.96,60030.15,1.469371937,73.0,59010.7838685279,37796.788492499996
BTC/USD,2024-07-14 05:00:00+00:00,60036.007,62842.15,59505.363,62661.585,1.118384538,95.0,60582.3866827014,40925.015524999995
BTC/USD,2024-07-15 05:00:00+00:00,62602.1825,65016.8,62345.115,64549.39,4.076007674,168.0,63448.8103662315,44147.620149999995
BTC/USD,2024-07-16 05:00:00+00:00,64544.455,66148.32,62401.1245,65875.0125,6.07184273,218.0,64348.8564550406,47436.033299999996
BTC/USD,2024-07-17 05:00:00+00:00,65874.3475,66013.161,63900.695,64581.1125,3.95775034,156.0,64877.7877676101,50659.560925
BTC/USD,2024-07-18 05:00:00+00:00,64625.4,65109.261,63274.07,64159.515,3.193097895,117.0,64528.2087499922,53861.870875
BTC/USD,2024-07-19 05:00:00+00:00,64133.85,67453.25,63416.065,66703.71,3.320582179,152.0,66512.3388131007,57191.489425
BTC/USD,2024-07-20 05:00:00+00:00,66687.6885,67598.8144483625,66337.495,67070.636,0.676400213,113.0,67302.9785941588,60539.366975
BTC/USD,2024-07-21 05:00:00+00:00,67054.097,68476.53,65852.2245,67944.075,0.778118584,121.0,67475.3050572323,60786.17057500001
BTC/USD,2024-07-22 05:00:00+00:00,67949.6935,68308.35,66603.3945,67011.766,1.38465101,146.0,67595.3028586962,61097.52930000001
BTC/USD,2024-07-23 05:00:00+00:00,66949.375,67344.4685,65502.98,65886.241,1.532641116,119.0,66356.2907893837,61444.49865
BTC/USD,2024-07-24 05:00:00+00:00,65856.558,67123.968,63807.865,64235.237,0.801684924,113.0,66119.3289750103,61961.268975
BTC/USD,2024-07-25 05:00:00+00:00,64172.9505,67468.8125,63440.855,67032.34,10.788021711,543.0,64888.7451197948,62507.566975
BTC/USD,2024-07-26 05:00:00+00:00,67101.645,68223.224,66868.29,67899.5105,1.836068108,105.0,67477.1540534617,63020.303
BTC/USD,2024-07-27 05:00:00+00:00,67894.857,69396.49,66669.635,67413.438,3.401541913,153.0,68368.9953633575,63615.683475000005
BTC/USD,2024-07-28 05:00:00+00:00,67324.2835,69732.6591939545,67082.38,69384.7,5.759094789,105.0,69161.6244766553,64218.295475000006
BTC/USD,2024-07-29 05:00:00+00:00,69366.8145,70015.69,65870.85,66751.889,2.09396818,173.0,68923.4606670104,64589.603175
BTC/USD,2024-07-30 05:00:00+00:00,66764.355,66995.324,65307.225,65832.98,1.902087291,122.0,66114.3949419432,64993.677175
BTC/USD,2024-07-31 05:00:00+00:00,65762.1135,66808.8585,63638.9643920595,63675.127,2.295904251,119.0,65165.1414255386,65325.249775
GRT/USD,2024-07-20 05:00:00+00:00,0.216525,0.22415,0.2131505,0.2188505,550.937298509,4.0,0.2165365053,0.19471515
GRT/USD,2024-07-21 05:00:00+00:00,0.21872,0.221995,0.209653,0.2154185,728.350584932,24.0,0.2165408567,0.19505715
GRT/USD,2024-07-22 05:00:00+00:00,0.2153,0.2154595,0.2045885,0.205385,41275.970334908,19.0,0.2094495818,0.19510315
GRT/USD,2024-07-23 05:00:00+00:00,0.20505,0.2087185,0.195609,0.1982015,11089.786327148,59.0,0.1981708796,0.195487075
GRT/USD,2024-07-24 05:00:00+00:00,0.19795,0.203808,0.1833001475,0.18693,182086.127707202,226.0,0.1888992006,0.196815825
USDT/USD,2024-07-01 05:00:00+00:00,0.999069,0.99925,0.9979,0.998865,1.6e-08,1.0,0.9979,0.18748185
USDT/USD,2024-07-02 05:00:00+00:00,0.998894,0.999688,0.99744,0.998355,2496.081814858,7.0,0.9975524015,0.2286278
USDT/USD,2024-07-03 05:00:00+00:00,0.99855,0.9996,0.99716,0.9989765,4381.962296825,128.0,0.9987580736,0.269843925
USDT/USD,2024-07-04 05:00:00+00:00,0.9990805,1.00052,0.99816,0.9995845,1821.860383646,6.0,0.9998782959,0.311698875
USDT/USD,2024-07-05 05:00:00+00:00,0.999566,1.0006,0.998,1.000001,13506.048962293,8.0,0.9985189629,0.35393002500000004
USDT/USD,2024-07-06 05:00:00+00:00,1.0001615,1.00048,0.998822,0.999931,12017.207612302,8.0,0.999241886,0.397719775
USDT/USD,2024-07-07 05:00:00+00:00,0.999886,1.00035,0.99891,0.99964,3.585540892,1.0,0.99891,0.44083767500000004
USDT/USD,2024-07-08 05:00:00+00:00,1.00007,1.000375,0.9987,0.999117,306.0,1.0,0.99874,0.483734525
USDT/USD,2024-07-09 05:00:00+00:00,0.99915,0.99955,0.998902,0.9993765,2501.104250279,4.0,0.9991520372,0.5270124999999999
USDT/USD,2024-07-10 05:00:00+00:00,0.99935,0.999568,0.998528,0.99922,992.004791779,2.0,0.9985283501,0.569863075
USDT/USD,2024-07-11 05:00:00+00:00,0.9992,0.99955,0.99902,0.999415,257.486796529,2.0,0.9990674059,0.612778825
USDT/USD,2024-07-12 05:00:00+00:00,0.9992,1.00075,0.99884,1.00018,5296.446282,4.0,0.9995574622,0.6554718
USDT/USD,2024-07-13 05:00:00+00:00,1.00015,1.001,0.999963,1.000495,0.0,0.0,0.0,0.6986316
USDT/USD,2024-07-14 05:00:00+00:00,1.000755,1.00111,1.0,1.000565,5.18338676,3.0,1.000209714,0.741580875
USDT/USD,2024-07-15 05:00:00+00:00,1.00065,1.0013,1.0004,1.0008,3.271398507,2.0,1.0006,0.7843692250000001
USDT/USD,2024-07-16 05:00:00+00:00,1.000955,1.0015,0.9999865,1.00046,343.293265983,2.0,1.0014239717,0.8272547250000001
USDT/USD,2024-07-17 05:00:00+00:00,1.00025,1.001,0.998745,0.9998855,291.797260619,3.0,1.0006624839,0.8704033499999999
USDT/USD,2024-07-18 05:00:00+00:00,0.99992,1.00043,0.99884,1.00003,3724.0,2.0,0.9989165395,0.91356915
USDT/USD,2024-07-19 05:00:00+00:00,0.999685,1.000965,0.998748,1.00053,3212.10467587,3.0,0.9996710241,0.956745275
USDT/USD,2024-07-20 05:00:00+00:00,1.0003,1.001,1.00003,1.000452,0.0,0.0,0.0,0.9997939499999999
USDT/USD,2024-07-21 05:00:00+00:00,1.000725,1.00139,0.9998,1.000219,46.17295373,10.0,1.001012154,0.9998616499999999
USDT/USD,2024-07-22 05:00:00+00:00,1.0001735,1.000885,0.99894,1.000255,245.0,1.0,0.99894,0.9999566499999999
USDT/USD,2024-07-23 05:00:00+00:00,1.000301,1.00134,0.999001,1.00011,531.979768629,15.0,1.000128221,1.0000133249999998
USDT/USD,2024-07-26 05:00:00+00:00,1.00012,1.0009,0.998778,1.000377,36.16821233,8.0,0.9991693416,1.0000395249999998
USDT/USD,2024-07-27 05:00:00+00:00,1.000215,1.00136,0.999,1.000045,25.908792601,13.0,1.0005935075,1.000059775
USDT/USD,2024-08-05 05:00:00+00:00,1.0000575,1.003,0.998365,1.00085,16037.275209256,10.0,0.9996500436,0.999976075
USDT/USD,2024-08-06 05:00:00+00:00,1.00115,1.00115,1.0003,1.00065,1225.558506,5.0,1.0010989827,1.0000143000000001
USDT/USD,2024-08-07 05:00:00+00:00,1.0009,1.0015,1.0003,1.0006,197.009417246,2.0,1.000580247,1.0000428
USDT/USD,2024-08-08 05:00:00+00:00,1.00065,1.00115,0.999545,0.99998,1363.025439,1.0,1.0003,1.0000153
USDT/USD,2024-08-10 05:00:00+00:00,1.000725,1.00132,0.99995,1.000195,316.066204374,1.0,1.00132,1.0000197
USDT/USD,2024-08-11 05:00:00+00:00,1.0003,1.00157,0.99984,1.000105,99.234508657,2.0,1.0015574236,1.0000122
USDT/USD,2024-08-12 05:00:00+00:00,1.0002615,1.0008,0.998954,1.00015,2280.000194031,3.0,0.9992290526,1.0000142
USDT/USD,2024-08-13 05:00:00+00:00,1.00014,1.00159,0.99995,1.000795,52.091000325,2.0,1.0011401553,1.00005945
USDT/USD,2024-08-14 05:00:00+00:00,1.0005,1.001,1.0,1.00043,2260.773082907,3.0,1.0,1.000092275
USDT/USD,2024-08-15 05:00:00+00:00,1.000415,1.0014,0.99873,1.0002155,700.695829327,7.0,0.9994539443,1.0000842
USDT/USD,2024-08-16 05:00:00+00:00,1.000099,1.00124,0.999865,1.0003,63.646568451,1.0,1.00124,1.00009695
USDT/USD,2024-08-17 05:00:00+00:00,1.000465,1.0013,0.999007,1.0002085,50.310478637,4.0,1.0007709833,1.000114875
YFI/USD,2024-07-01 05:00:00+00:00,6328.868,6643.9195,6300.635,6581.75,0.0,0.0,0.0,330.03764087499997
YFI/USD,2024-07-02 05:00:00+00:00,6581.2555,6916.9205,6523.615,6764.375,0.004540891,3.0,6580.3683783128,668.206406875
